zone,url,probe_num,timestamp,http_status,latency_seconds,error_type,error_message
test,http://10.129.13.78:30080/health,1,2026-07-26T06:34:30.536802Z,200,0.1077,,
internet,https://fb1.spb.ru/health,1,2026-07-26T06:34:30.536466Z,200,0.1156,,
test,http://10.129.13.78:30080/health,2,2026-07-26T06:34:31.537061Z,200,0.1285,,
internet,https://fb1.spb.ru/health,2,2026-07-26T06:34:31.536582Z,200,0.1573,,
test,http://10.129.13.78:30080/health,3,2026-07-26T06:34:32.540713Z,200,0.1049,,
internet,https://fb1.spb.ru/health,3,2026-07-26T06:34:32.537660Z,200,0.123,,
test,http://10.129.13.78:30080/health,4,2026-07-26T06:34:33.536744Z,200,0.1039,,
internet,https://fb1.spb.ru/health,4,2026-07-26T06:34:33.536477Z,200,0.1112,,
test,http://10.129.13.78:30080/health,5,2026-07-26T06:34:34.537047Z,200,0.1057,,
internet,https://fb1.spb.ru/health,5,2026-07-26T06:34:34.536732Z,200,0.1171,,
test,http://10.129.13.78:30080/health,6,2026-07-26T06:34:35.536736Z,200,0.1045,,
internet,https://fb1.spb.ru/health,6,2026-07-26T06:34:35.536511Z,200,0.1247,,
test,http://10.129.13.78:30080/health,7,2026-07-26T06:34:36.536807Z,200,0.1147,,
internet,https://fb1.spb.ru/health,7,2026-07-26T06:34:36.536559Z,200,0.1545,,
test,http://10.129.13.78:30080/health,8,2026-07-26T06:34:37.537409Z,200,0.1044,,
internet,https://fb1.spb.ru/health,8,2026-07-26T06:34:37.536816Z,200,0.1163,,
test,http://10.129.13.78:30080/health,9,2026-07-26T06:34:38.537109Z,200,0.1409,,
internet,https://fb1.spb.ru/health,9,2026-07-26T06:34:38.536759Z,200,0.1418,,
test,http://10.129.13.78:30080/health,10,2026-07-26T06:34:39.536913Z,200,0.1057,,
internet,https://fb1.spb.ru/health,10,2026-07-26T06:34:39.536552Z,200,0.1141,,
test,http://10.129.13.78:30080/health,11,2026-07-26T06:34:40.537156Z,200,0.1047,,
internet,https://fb1.spb.ru/health,11,2026-07-26T06:34:40.536780Z,200,0.1227,,
test,http://10.129.13.78:30080/health,12,2026-07-26T06:34:41.536843Z,200,0.1071,,
