zone,url,probe_num,timestamp,http_status,latency_seconds,error_type,error_message
test,http://10.129.13.78:30080/health,1,2026-07-26T05:57:20.108808Z,200,0.1101,,
internet,https://fb1.spb.ru/health,1,2026-07-26T05:57:20.108532Z,200,0.1265,,
test,http://10.129.13.78:30080/health,2,2026-07-26T05:57:21.109161Z,200,0.1081,,
internet,https://fb1.spb.ru/health,2,2026-07-26T05:57:21.108819Z,200,0.1259,,
test,http://10.129.13.78:30080/health,3,2026-07-26T05:57:22.109231Z,200,0.1077,,
internet,https://fb1.spb.ru/health,3,2026-07-26T05:57:22.108811Z,200,0.1199,,
test,http://10.129.13.78:30080/health,4,2026-07-26T05:57:23.109081Z,200,0.1084,,
internet,https://fb1.spb.ru/health,4,2026-07-26T05:57:23.108774Z,200,0.1202,,
test,http://10.129.13.78:30080/health,5,2026-07-26T05:57:24.109107Z,200,0.1071,,
internet,https://fb1.spb.ru/health,5,2026-07-26T05:57:24.108714Z,200,0.1171,,
test,http://10.129.13.78:30080/health,6,2026-07-26T05:57:25.109642Z,200,0.1076,,
internet,https://fb1.spb.ru/health,6,2026-07-26T05:57:25.109068Z,200,0.1329,,
test,http://10.129.13.78:30080/health,7,2026-07-26T05:57:26.109120Z,200,0.1075,,
internet,https://fb1.spb.ru/health,7,2026-07-26T05:57:26.108810Z,200,0.125,,
test,http://10.129.13.78:30080/health,8,2026-07-26T05:57:27.109258Z,200,0.1075,,
internet,https://fb1.spb.ru/health,8,2026-07-26T05:57:27.108877Z,200,0.1283,,
test,http://10.129.13.78:30080/health,9,2026-07-26T05:57:28.109319Z,200,0.1206,,
internet,https://fb1.spb.ru/health,9,2026-07-26T05:57:28.108837Z,200,0.1386,,
test,http://10.129.13.78:30080/health,10,2026-07-26T05:57:29.109120Z,200,0.1083,,
internet,https://fb1.spb.ru/health,10,2026-07-26T05:57:29.108765Z,200,0.1241,,
test,http://10.129.13.78:30080/health,11,2026-07-26T05:57:30.109297Z,200,0.1074,,
internet,https://fb1.spb.ru/health,11,2026-07-26T05:57:30.108869Z,200,0.115,,
test,http://10.129.13.78:30080/health,12,2026-07-26T05:57:31.108917Z,200,0.1081,,
internet,https://fb1.spb.ru/health,12,2026-07-26T05:57:31.108636Z,200,0.1209,,
test,http://10.129.13.78:30080/health,13,2026-07-26T05:57:32.108947Z,200,0.1071,,
internet,https://fb1.spb.ru/health,13,2026-07-26T05:57:32.108711Z,200,0.1165,,
test,http://10.129.13.78:30080/health,14,2026-07-26T05:57:33.109240Z,200,0.1075,,
internet,https://fb1.spb.ru/health,14,2026-07-26T05:57:33.108826Z,200,0.1239,,
test,http://10.129.13.78:30080/health,15,2026-07-26T05:57:34.108863Z,200,0.1074,,
internet,https://fb1.spb.ru/health,15,2026-07-26T05:57:34.108640Z,200,0.1157,,
test,http://10.129.13.78:30080/health,16,2026-07-26T05:57:35.109236Z,200,0.1078,,
